code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
GHZLAND-004;Afghanistan;;;;;;;;
GHZLAND-008;Albanien;;;;;;;;
GHZLAND-012;Algerien;;;;;;;;
GHZLAND-016;Amerikanisch-Samoa;;;;;;;;
GHZLAND-020;Andorra;;;;;;;;
GHZLAND-024;Angola;;;;;;;;
GHZLAND-028;Antigua und Barbuda;;;;;;;;
GHZLAND-031;Aserbaidschan;;;;;;;;
GHZLAND-032;Argentinien;;;;;;;;
GHZLAND-036;Australien;;;;;;;;
GHZLAND-040;Österreich;;Austria;;;;;;
GHZLAND-044;Bahamas;;;;;;;;
GHZLAND-048;Bahrain;;;;;;;;
GHZLAND-050;Bangladesch;;;;;;;;
GHZLAND-051;Armenien;;;;;;;;
GHZLAND-052;Barbados;;;;;;;;
GHZLAND-056;Belgien;;;;;;;;
GHZLAND-060;Bermuda;;;;;;;;
GHZLAND-064;Bhutan;;;;;;;;
GHZLAND-068;Bolivien;;;;;;;;
GHZLAND-070;Bosnien und Herzegowina;;;;;;;;
GHZLAND-072;Botsuana;;;;;;;;
GHZLAND-074;Bouvetinsel;;;;;;;;
GHZLAND-076;Brasilien;;;;;;;;
GHZLAND-084;Belize;;;;;;;;
GHZLAND-086;Britisches Territorium im Ind. Ozean;;;;;;;;
GHZLAND-090;Salomonen;;;;;;;;
GHZLAND-092;Britische Jungferninseln;;;;;;;;
GHZLAND-096;Brunei Darussalam;;;;;;;;
GHZLAND-100;Bulgarien;;;;;;;;
GHZLAND-104;Myanmar;;;;;;;;
GHZLAND-108;Burundi;;;;;;;;
GHZLAND-112;Belarus;;;;;;;;
GHZLAND-116;Kambodscha;;;;;;;;
GHZLAND-120;Kamerun;;;;;;;;
GHZLAND-124;Kanada;;;;;;;;
GHZLAND-132;Kap Verde;;;;;;;;
GHZLAND-136;Kaimaninseln;;;;;;;;
GHZLAND-140;Zentralafrikanische Republik;;;;;;;;
GHZLAND-144;Sri Lanka;;;;;;;;
GHZLAND-148;Tschad;;;;;;;;
GHZLAND-152;Chile;;;;;;;;
GHZLAND-156;China;;;;;;;;
GHZLAND-158;Republik China (Taiwan);;;;;;;;
GHZLAND-162;Weihnachtsinsel;;;;;;;;
GHZLAND-166;Kokosinseln;;;;;;;;
GHZLAND-170;Kolumbien;;;;;;;;
GHZLAND-174;Komoren;;;;;;;;
GHZLAND-175;Mayotte;;;;;;;;
GHZLAND-178;Kongo;;;;;;;;
GHZLAND-180;Kongo - Demokratische Republik;;;;;;;;
GHZLAND-184;Cookinseln;;;;;;;;
GHZLAND-188;Costa Rica;;;;;;;;
GHZLAND-191;Kroatien;;;;;;;;
GHZLAND-192;Kuba;;;;;;;;
GHZLAND-196;Zypern;;;;;;;;
GHZLAND-200;Tschechoslowakei;;;;;;;;
GHZLAND-203;Tschechische Republik;;;;;;;;
GHZLAND-204;Benin;;;;;;;;
GHZLAND-208;Dänemark;;;;;;;;
GHZLAND-212;Dominica;;;;;;;;
GHZLAND-214;Dominikanische Republik;;;;;;;;
GHZLAND-218;Ecuador;;;;;;;;
GHZLAND-222;El Salvador;;;;;;;;
GHZLAND-226;Äquatorialguinea;;;;;;;;
GHZLAND-230;Äthiopien (einschl. Eritrea);;;;;;;;
GHZLAND-231;Äthiopien;;;;;;;;
GHZLAND-232;Eritrea;;;;;;;;
GHZLAND-233;Estland;;;;;;;;
GHZLAND-234;Färöer;;;;;;;;
GHZLAND-238;Falklandinseln (Malwinen);;;;;;;;
GHZLAND-239;Südgeorgien u. d. südl. Sandwichinseln;;;;;;;;
GHZLAND-242;Fidschi;;;;;;;;
GHZLAND-246;Finnland;;;;;;;;
GHZLAND-248;Ålandinseln;;;;;;;;
GHZLAND-250;Frankreich;;;;;;;;
GHZLAND-254;Französisch-Guayana;;;;;;;;
GHZLAND-258;Französisch-Polynesien;;;;;;;;
GHZLAND-260;Französische Süd- u. Antarktisgebiete;;;;;;;;
GHZLAND-262;Dschibuti;;;;;;;;
GHZLAND-266;Gabun;;;;;;;;
GHZLAND-268;Georgien;;;;;;;;
GHZLAND-270;Gambia;;;;;;;;
GHZLAND-275;Palästinensische Gebiete - Besetzte;;;;;;;;
GHZLAND-276;Deutschland;;;;;;;;
GHZLAND-278;Deutsche Demokratische Republik;;;;;;;;
GHZLAND-280;Bundesrepublik Deutschland (alte BDL);;;;;;;;
GHZLAND-288;Ghana;;;;;;;;
GHZLAND-292;Gibraltar;;;;;;;;
GHZLAND-296;Kiribati;;;;;;;;
GHZLAND-300;Griechenland;;;;;;;;
GHZLAND-304;Grönland;;;;;;;;
GHZLAND-308;Grenada;;;;;;;;
GHZLAND-312;Guadeloupe;;;;;;;;
GHZLAND-316;Guam;;;;;;;;
GHZLAND-320;Guatemala;;;;;;;;
GHZLAND-324;Guinea;;;;;;;;
GHZLAND-328;Guyana;;;;;;;;
GHZLAND-332;Haiti;;;;;;;;
GHZLAND-334;Heard und McDonaldsinseln;;;;;;;;
GHZLAND-336;Vatikan;;;;;;;;
GHZLAND-340;Honduras;;;;;;;;
GHZLAND-344;Hongkong;;;;;;;;
GHZLAND-348;Ungarn;;;;;;;;
GHZLAND-352;Island;;;;;;;;
GHZLAND-356;Indien;;;;;;;;
GHZLAND-360;Indonesien;;;;;;;;
GHZLAND-364;Iran - Islamische Republik;;;;;;;;
GHZLAND-368;Irak;;;;;;;;
GHZLAND-372;Irland;;;;;;;;
GHZLAND-376;Israel;;;;;;;;
GHZLAND-380;Italien;;;;;;;;
GHZLAND-384;Côte d'Ivoire;;;;;;;;
GHZLAND-388;Jamaika;;;;;;;;
GHZLAND-392;Japan;;;;;;;;
GHZLAND-398;Kasachstan;;;;;;;;
GHZLAND-400;Jordanien;;;;;;;;
GHZLAND-404;Kenia;;;;;;;;
GHZLAND-408;Korea - Demokratische Volksrepublik;;;;;;;;
GHZLAND-410;Korea - Republik;;;;;;;;
GHZLAND-414;Kuwait;;;;;;;;
GHZLAND-417;Kirgisistan;;;;;;;;
GHZLAND-418;Laos - Demokratische Volksrepublik;;;;;;;;
GHZLAND-422;Libanon;;;;;;;;
GHZLAND-426;Lesotho;;;;;;;;
GHZLAND-428;Lettland;;;;;;;;
GHZLAND-430;Liberia;;;;;;;;
GHZLAND-434;Libyen;;;;;;;;
GHZLAND-438;Liechtenstein;;;;;;;;
GHZLAND-440;Litauen;;;;;;;;
GHZLAND-442;Luxemburg;;;;;;;;
GHZLAND-446;Macao;;;;;;;;
GHZLAND-450;Madagaskar;;;;;;;;
GHZLAND-454;Malawi;;;;;;;;
GHZLAND-458;Malaysia;;;;;;;;
GHZLAND-462;Malediven;;;;;;;;
GHZLAND-466;Mali;;;;;;;;
GHZLAND-470;Malta;;;;;;;;
GHZLAND-474;Martinique;;;;;;;;
GHZLAND-478;Mauretanien;;;;;;;;
GHZLAND-480;Mauritius;;;;;;;;
GHZLAND-484;Mexiko;;;;;;;;
GHZLAND-492;Monaco;;;;;;;;
GHZLAND-496;Mongolei;;;;;;;;
GHZLAND-498;Moldau;;;;;;;;
GHZLAND-499;Montenegro;;;;;;;;
GHZLAND-500;Montserrat;;;;;;;;
GHZLAND-504;Marokko;;;;;;;;
GHZLAND-508;Mosambik;;;;;;;;
GHZLAND-512;Oman;;;;;;;;
GHZLAND-516;Namibia;;;;;;;;
GHZLAND-520;Nauru;;;;;;;;
GHZLAND-524;Nepal;;;;;;;;
GHZLAND-528;Niederlande;;;;;;;;
GHZLAND-530;Niederländische Antillen;;;;;;;;
GHZLAND-533;Aruba;;;;;;;;
GHZLAND-540;Neukaledonien;;;;;;;;
GHZLAND-548;Vanuatu;;;;;;;;
GHZLAND-554;Neuseeland;;;;;;;;
GHZLAND-558;Nicaragua;;;;;;;;
GHZLAND-562;Niger;;;;;;;;
GHZLAND-566;Nigeria;;;;;;;;
GHZLAND-570;Niue;;;;;;;;
GHZLAND-574;Norfolkinseln;;;;;;;;
GHZLAND-578;Norwegen;;;;;;;;
GHZLAND-580;Nördliche Marianen;;;;;;;;
GHZLAND-581;Amerikanische Überseeinseln;;;;;;;;
GHZLAND-583;Mikronesien - Föderierte Staaten von;;;;;;;;
